Lukáš Hrádecký
Giulio Maggiore
Norbert Gyömbér
Grigoris Kastanos
Federico Fazio
Benoît Costil
Boulaye Dia
Chukwubuikem Ikwuemesi
Mateusz Łęgowski
Junior Sambia
Flavius Daniliuc
Jovane Cabral
Agustín Martegani
Simeon Nwankwo
Kostas Manolas
Triantafyllos Pasaridīs
Vincenzo Fiorillo
Erik Botheim
Jérôme Boateng
Emanuel Vignato
Iron Gomis
Trivante Stewart
Dylan Bronn
Andres Sfait
Gerardo Fusco
Rocco Di Vico
Antonio Iervolino
Andrei Motoc
Gustavo Hamer
Jayden Bogle
Jack Robinson
Vinicius Souza
Anel Ahmedhodžić
Wes Foderingham
Auston Trusty
Oliver Norwood
Oliver McBurnie
Ben Osborn
Andre Brooks
George Baldock
Oliver Arblaster
Luke Thomas
William Osula
Mason Holgate
Yasser Larouci
John Egan
Max Lowe
Anis Ben Slimane
Rhian Brewster
Chris Basham
Tom Davies
Rhys Norrington-Davies
John Fleck
Sam Curtis
Daniel Jebbison
Antwoine Hackford
Sydie Peck
Ryan One
Jordan Amissah
Jili Buyabu
Ismaila Cheick Coulibaly
Adam Davies
Louie Marsh
Femi Seriki
